slNo.,pclass,sex,age,sibsp,parch,survived
0,3,0,29.519847189349115,0,0,1
1,3,1,38.0,0,0,0
2,3,0,30.0,1,1,0
3,2,0,54.0,1,3,1
4,2,1,40.0,0,0,0
5,3,1,28.0,0,0,0
6,3,1,19.0,0,0,0
7,2,0,30.0,0,0,1
8,3,0,22.0,0,0,1
9,3,0,21.0,1,0,0
10,1,1,27.0,0,2,0
11,1,0,60.0,0,0,1
12,1,0,56.0,0,1,1
13,2,0,20.0,2,1,1
14,3,1,16.0,1,1,0
15,3,1,48.0,0,0,0
16,2,1,40.0,0,0,0
17,3,1,29.519847189349115,2,0,1
18,1,0,22.0,0,1,1
19,3,1,32.0,0,0,1
20,3,1,27.0,0,0,1
21,3,1,29.519847189349115,0,0,0
22,2,0,24.0,1,2,1
23,3,1,25.0,0,0,0
24,3,0,18.0,0,0,1
25,2,1,27.0,0,0,0
26,3,0,35.0,0,0,0
27,2,0,27.0,1,0,0
28,3,1,29.519847189349115,0,0,0
29,1,1,42.0,1,0,0
30,1,1,29.519847189349115,0,0,0
31,3,0,29.519847189349115,2,0,1
32,3,1,19.0,0,0,0
33,3,1,29.519847189349115,0,0,1
34,2,1,21.0,1,0,0
35,3,1,13.0,0,2,0
36,3,0,27.0,1,0,0
37,1,1,13.0,2,2,1
38,3,1,29.519847189349115,0,0,0
39,2,0,29.0,1,0,1
40,3,1,38.5,0,0,0
41,3,1,29.519847189349115,0,0,0
42,1,0,40.0,1,1,1
43,1,1,27.0,0,0,1
44,1,1,45.0,1,0,0
45,3,1,34.0,0,0,0
46,2,1,29.519847189349115,0,0,0
47,3,1,29.519847189349115,1,9,0
48,3,1,22.0,1,0,0
49,2,1,57.0,0,0,0
50,2,0,2.0,1,1,1
51,3,1,29.519847189349115,0,0,0
52,1,0,58.0,0,1,1
53,3,1,29.519847189349115,0,0,0
54,3,1,35.0,0,0,0
55,3,1,29.519847189349115,0,0,0
56,3,1,22.0,0,0,0
57,1,1,46.0,0,0,0
58,2,0,50.0,0,0,1
59,1,0,14.0,1,2,1
60,1,0,58.0,0,1,1
61,2,1,23.0,2,1,0
62,1,1,32.5,0,0,0
63,3,0,29.519847189349115,0,4,0
64,3,1,18.0,0,0,1
65,1,1,6.0,0,2,1
66,3,0,37.0,0,0,0
67,3,1,1.0,1,2,1
68,3,1,29.0,0,0,0
69,1,1,24.0,1,0,0
70,2,0,36.0,0,0,1
71,2,1,39.0,0,0,0
72,1,0,36.0,1,2,1
73,3,1,24.0,0,0,0
74,3,1,42.0,0,0,0
75,3,1,33.0,1,1,0
76,3,1,26.0,0,0,0
77,3,1,20.0,1,0,1
78,3,1,16.0,0,0,0
79,3,1,29.519847189349115,8,2,0
80,3,1,41.0,2,0,0
81,1,0,30.0,0,0,1
82,1,1,42.0,0,0,0
83,3,1,26.0,1,0,0
84,3,1,24.0,0,0,0
85,3,1,19.0,0,0,0
86,3,0,20.0,0,0,0
87,3,1,29.519847189349115,0,0,1
88,3,1,38.0,0,0,0
89,3,1,38.0,0,0,0
90,1,0,39.0,1,1,1
91,3,1,24.0,0,0,0
92,3,1,18.0,0,0,0
93,3,1,18.0,1,1,0
94,3,0,29.519847189349115,0,0,0
95,1,1,40.0,0,0,0
96,3,1,29.519847189349115,2,0,0
97,3,0,14.5,1,0,0
98,3,1,29.519847189349115,0,0,0
99,3,1,47.0,0,0,0
100,3,1,21.0,0,0,0
101,3,1,29.519847189349115,0,0,0
102,3,1,29.519847189349115,0,0,0
103,1,0,29.519847189349115,1,0,1
104,2,1,42.0,1,1,0
105,3,1,31.0,0,0,1
106,2,1,36.0,0,0,0
107,3,1,29.519847189349115,1,0,0
108,1,1,29.519847189349115,0,0,0
109,1,0,38.0,0,0,1
110,3,1,16.0,0,0,0
111,2,1,8.0,1,1,1
112,2,1,30.0,0,0,0
113,1,0,17.0,1,0,1
114,1,1,49.0,0,0,1
115,3,0,22.0,0,0,1
116,3,1,22.0,0,0,0
117,3,1,24.0,0,0,0
118,3,1,26.0,1,2,0
119,3,1,20.0,0,0,0
120,1,0,49.0,0,0,1
121,3,1,25.0,1,0,0
122,2,0,19.0,1,0,1
123,2,0,36.0,1,0,1
124,2,1,18.0,0,0,0
125,1,0,48.0,1,0,1
126,2,0,18.0,0,2,1
127,3,0,18.0,0,0,0
128,1,0,31.0,0,2,1
129,3,1,29.519847189349115,0,0,0
130,1,1,36.0,0,0,1
131,3,1,11.0,5,2,0
132,1,0,55.0,0,0,1
133,3,0,29.519847189349115,1,9,0
134,3,1,34.5,0,0,0
135,2,1,18.0,0,0,0
136,2,1,29.519847189349115,0,0,0
137,2,0,28.0,0,0,1
138,2,1,25.0,0,0,0
139,3,1,27.0,0,0,0
140,1,1,29.519847189349115,0,0,0
141,3,1,29.519847189349115,1,2,0
142,3,1,20.0,1,1,1
143,1,1,51.0,0,0,1
144,2,1,34.0,0,0,1
145,3,1,49.0,0,0,0
146,2,1,21.0,1,0,0
147,3,1,29.519847189349115,0,0,0
148,3,0,29.519847189349115,0,0,1
149,2,1,30.0,0,0,0
150,1,1,45.0,0,0,1
151,3,0,0.1667,1,2,1
152,3,1,29.519847189349115,0,0,0
153,3,1,65.0,0,0,0
154,1,1,18.0,1,0,0
155,3,1,21.0,0,0,0
156,3,1,25.0,0,0,0
157,3,1,45.5,0,0,0
158,3,1,29.519847189349115,0,0,0
159,2,1,54.0,0,0,0
160,1,0,64.0,1,1,1
161,2,1,36.0,1,2,0
162,3,1,25.0,0,0,0
163,3,1,47.0,0,0,0
164,3,1,0.75,1,1,0
165,1,1,38.0,0,1,0
166,3,1,29.519847189349115,1,2,0
167,3,1,29.519847189349115,8,2,0
168,3,1,24.0,0,0,0
169,1,0,15.0,0,1,1
170,3,0,27.0,0,0,1
171,1,0,39.0,0,0,1
172,3,0,29.519847189349115,0,2,0
173,3,0,29.519847189349115,0,0,0
174,3,1,29.519847189349115,0,0,0
175,2,1,36.0,0,0,0
176,3,1,26.0,0,0,1
177,1,1,80.0,0,0,1
178,1,1,30.0,1,2,0
179,3,1,22.0,0,0,0
180,3,0,2.0,4,2,0
181,3,1,43.0,0,0,0
182,2,1,25.0,0,0,0
183,2,1,29.519847189349115,0,0,0
184,1,1,47.0,0,0,0
185,2,1,3.0,1,1,1
186,3,1,20.0,0,0,0
187,3,1,29.519847189349115,0,0,0
188,1,1,29.519847189349115,0,0,0
189,2,1,23.0,0,0,0
190,3,1,61.0,0,0,0
191,3,1,22.5,0,0,0
192,2,0,18.0,0,1,1
193,3,1,19.0,0,0,0
194,3,0,36.0,0,2,1
195,3,1,29.519847189349115,0,0,0
196,3,1,6.0,3,1,0
197,3,1,8.0,4,1,0
198,3,1,29.519847189349115,1,1,1
199,3,1,40.0,1,6,0
200,1,1,47.0,0,0,0
201,3,1,40.5,0,0,0
202,3,1,9.0,5,2,0
203,1,0,24.0,0,0,1
204,3,1,10.0,3,2,0
205,3,0,29.519847189349115,0,0,0
206,1,0,16.0,0,1,1
207,3,1,28.5,0,0,0
208,3,1,10.0,4,1,0
209,1,0,45.0,0,1,1
210,3,1,29.519847189349115,0,0,0
211,2,1,30.0,0,0,0
212,3,1,33.0,0,0,0
213,2,0,19.0,0,0,1
214,3,1,28.0,1,0,0
215,3,1,28.5,0,0,0
216,3,1,2.0,4,1,0
217,1,1,36.0,0,0,0
218,3,1,29.519847189349115,0,0,0
219,3,1,27.0,1,0,0
220,1,0,19.0,1,0,1
221,1,1,17.0,0,0,0
222,2,1,31.0,0,0,1
223,1,1,22.0,0,0,0
224,1,1,61.0,0,0,0
225,3,1,16.0,2,0,0
226,3,0,1.0,1,1,1
227,1,0,47.0,1,1,1
228,3,1,29.519847189349115,0,0,0
229,1,0,28.0,3,2,1
230,1,0,35.0,1,0,1
231,1,1,47.0,1,0,0
232,1,1,29.519847189349115,0,0,0
233,3,1,29.519847189349115,0,0,0
234,3,1,29.519847189349115,1,0,0
235,3,1,29.519847189349115,0,0,0
236,1,0,30.0,0,0,1
237,3,0,3.0,3,1,0
238,3,1,21.0,0,0,0
239,1,1,46.0,0,0,0
240,2,0,8.0,1,1,1
241,3,0,14.0,0,0,0
242,2,0,30.0,0,0,0
243,2,1,44.0,1,0,0
244,1,1,48.0,0,0,1
245,3,1,29.519847189349115,0,0,0
246,3,0,20.0,1,0,0
247,1,1,64.0,1,4,0
248,2,1,0.8333,1,1,1
249,3,0,29.519847189349115,0,0,1
250,1,0,48.0,1,1,1
251,1,1,21.0,0,1,1
252,2,1,30.0,0,0,1
253,2,0,28.0,1,0,1
254,3,1,26.0,0,0,0
255,1,1,49.0,1,0,1
256,2,1,32.0,0,0,0
257,1,1,36.0,1,2,1
258,3,0,1.0,1,1,0
259,3,0,22.0,0,0,0
260,2,1,29.0,1,0,0
261,3,1,29.519847189349115,0,0,0
262,2,0,35.0,0,0,1
263,1,0,52.0,1,1,1
264,2,1,30.0,0,0,0
265,3,1,42.0,0,0,0
266,3,1,22.0,0,0,0
267,3,1,24.0,0,0,0
268,1,1,30.0,1,0,1
269,3,1,29.519847189349115,0,0,0
270,3,1,35.0,0,0,0
271,3,1,7.0,4,1,0
272,3,1,36.0,1,0,0
273,3,1,20.0,0,0,0
274,2,1,25.0,0,0,0
275,3,1,23.0,0,0,0
276,2,1,70.0,0,0,0
277,3,0,29.519847189349115,0,0,1
278,3,0,2.0,0,1,0
279,2,1,29.519847189349115,0,0,1
280,3,0,18.0,2,0,0
281,3,0,29.0,0,4,0
282,2,0,31.0,1,1,1
283,3,0,5.0,4,2,1
284,1,1,29.519847189349115,0,0,0
285,1,0,30.0,0,0,1
286,1,0,29.519847189349115,0,1,1
287,3,0,25.0,0,0,0
288,1,1,21.0,0,1,0
289,1,0,2.0,1,2,0
290,3,0,20.0,0,0,0
291,2,0,3.0,1,2,1
292,3,1,33.0,0,0,0
293,3,1,29.519847189349115,0,0,0
294,3,1,0.4167,0,1,1
295,2,1,30.0,1,1,0
296,1,1,62.0,0,0,0
297,2,0,60.0,1,0,0
298,1,1,53.0,0,0,1
299,3,0,16.0,0,0,1
300,3,1,30.0,0,0,0
301,3,0,29.519847189349115,0,0,1
302,3,1,22.0,0,0,0
303,1,1,45.5,0,0,0
304,2,1,30.0,0,0,0
305,3,1,19.0,0,0,0
306,3,1,21.0,0,0,0
307,3,0,33.0,3,0,1
308,3,1,33.0,0,0,0
309,1,0,48.0,0,0,1
310,1,0,16.0,0,0,1
311,1,0,18.0,2,2,1
312,3,1,40.0,0,0,0
313,2,1,34.0,0,0,0
314,3,1,29.519847189349115,0,0,0
315,3,1,32.0,0,0,0
316,3,1,33.0,0,0,0
317,3,1,23.0,0,0,0
318,3,0,39.0,1,5,0
319,3,1,2.0,3,1,0
320,1,1,25.0,0,0,0
321,1,1,37.0,1,1,0
322,3,1,29.519847189349115,0,0,0
323,3,1,18.0,0,0,0
324,2,1,28.0,0,0,0
325,3,1,16.0,0,0,0
326,2,0,24.0,1,0,1
327,3,1,28.0,0,0,0
328,1,0,50.0,0,0,0
329,3,0,29.519847189349115,8,2,0
330,3,1,17.0,0,0,0
331,3,1,41.0,0,0,0
332,3,0,18.0,0,0,1
333,3,0,30.0,1,0,0
334,1,1,52.0,0,0,1
335,3,1,29.519847189349115,0,0,0
336,3,1,20.0,0,0,0
337,3,1,29.519847189349115,0,0,1
338,2,0,24.0,2,1,1
339,1,0,36.0,0,0,1
340,1,1,29.519847189349115,0,0,0
341,3,1,26.0,0,0,0
342,3,1,26.0,0,0,0
343,3,1,29.519847189349115,0,0,0
344,3,0,24.0,1,0,1
345,1,1,28.5,0,0,0
346,1,1,38.0,0,0,0
347,3,1,29.519847189349115,0,0,0
348,2,1,62.0,0,0,0
349,1,1,58.0,0,2,0
350,3,1,44.0,0,0,0
351,1,0,30.0,0,0,1
352,3,1,17.0,0,0,0
353,2,1,23.0,0,0,0
354,1,0,35.0,1,0,1
355,3,1,51.0,0,0,0
356,2,1,27.0,0,0,0
357,3,1,29.519847189349115,0,0,0
358,1,1,56.0,0,0,0
359,2,0,13.0,0,1,1
360,3,1,29.519847189349115,1,1,0
361,3,1,20.0,0,0,1
362,3,0,29.519847189349115,0,0,1
363,2,1,27.0,1,0,0
364,2,0,4.0,1,1,1
365,3,1,18.0,1,1,0
366,2,0,24.0,0,0,0
367,3,1,29.0,0,0,0
368,1,1,29.519847189349115,0,0,0
369,1,0,21.0,2,2,1
370,3,1,29.519847189349115,0,0,0
371,3,0,31.0,1,1,1
372,3,1,33.0,0,0,0
373,3,1,18.5,0,0,0
374,1,0,42.0,0,0,1
375,1,1,11.0,1,2,1
376,3,0,29.519847189349115,0,0,0
377,1,0,19.0,0,2,1
378,3,1,22.0,0,0,0
379,1,1,27.0,0,0,1
380,3,0,29.519847189349115,0,0,1
381,1,1,29.519847189349115,0,0,0
382,3,0,29.519847189349115,0,0,0
383,1,0,58.0,0,0,1
384,3,0,24.0,0,0,0
385,3,0,29.519847189349115,1,0,1
386,3,1,19.0,0,0,0
387,1,0,36.0,0,0,0
388,3,1,29.519847189349115,0,0,0
389,3,1,34.0,0,0,0
390,2,0,14.0,1,0,1
391,3,1,29.519847189349115,0,0,0
392,3,0,29.519847189349115,3,1,0
393,3,0,48.0,1,3,0
394,2,0,32.0,0,0,1
395,2,1,16.0,0,0,0
396,3,1,29.519847189349115,0,0,0
397,1,0,54.0,1,0,1
398,3,1,29.519847189349115,0,0,0
399,2,1,0.6667,1,1,1
400,3,0,18.0,0,0,0
401,3,1,29.519847189349115,1,0,0
402,3,1,28.0,0,0,0
403,1,0,50.0,0,1,1
404,1,1,53.0,1,1,1
405,2,1,40.0,1,0,0
406,2,1,30.0,1,0,0
407,3,1,29.519847189349115,0,0,0
408,3,1,20.0,0,0,0
409,3,1,19.0,0,0,0
410,3,1,17.0,2,0,0
411,3,1,23.0,0,0,0
412,3,1,29.519847189349115,0,0,0
413,3,1,22.0,0,0,0
414,3,1,23.0,0,0,0
415,1,1,29.519847189349115,0,0,0
416,3,1,60.5,0,0,0
417,3,1,4.0,1,1,1
418,1,0,49.0,1,0,1
419,3,0,22.0,1,0,1
420,3,1,9.0,1,1,1
421,3,0,29.519847189349115,0,0,1
422,2,0,55.0,0,0,1
423,3,1,20.0,0,0,1
424,3,1,28.0,2,0,0
425,3,0,11.0,4,2,0
426,3,0,29.519847189349115,0,0,1
427,3,1,30.0,0,0,0
428,3,0,21.0,0,0,0
429,3,1,17.0,0,0,0
430,3,1,14.5,8,2,0
431,2,1,17.0,0,0,0
432,3,1,29.519847189349115,0,0,0
433,3,1,29.519847189349115,0,0,1
434,3,1,29.519847189349115,0,0,0
435,3,1,28.0,0,0,0
436,1,0,45.0,0,0,1
437,1,0,52.0,1,0,1
438,2,0,48.0,1,2,1
439,2,1,49.0,1,2,0
440,2,1,26.0,0,0,0
441,3,0,4.0,0,2,1
442,3,0,22.0,2,0,0
443,2,1,34.0,1,0,0
444,1,0,54.0,1,1,1
445,3,1,55.5,0,0,0
446,2,1,25.0,1,0,0
447,1,1,60.0,0,0,0
448,3,1,31.0,0,0,0
449,1,1,29.519847189349115,0,0,1
450,2,1,50.0,1,0,0
451,3,0,29.519847189349115,0,0,1
452,3,1,0.8333,0,1,1
453,1,1,29.519847189349115,0,0,1
454,3,1,25.0,0,0,1
455,3,0,29.519847189349115,0,0,0
456,1,1,45.0,0,0,0
457,3,0,18.0,1,0,0
458,3,0,38.0,0,0,1
459,2,0,26.0,1,1,0
460,3,0,17.0,0,0,0
461,3,0,22.0,0,0,1
462,3,0,10.0,5,2,0
463,1,1,28.0,0,0,1
464,1,1,67.0,1,0,0
465,3,0,27.0,0,0,0
466,3,1,25.0,0,0,1
467,3,1,31.0,3,0,0
468,1,1,45.0,0,0,0
469,3,0,9.0,4,2,0
470,3,1,36.0,0,0,0
471,3,1,18.0,0,0,0
472,2,0,7.0,0,2,1
473,1,0,18.0,1,0,1
474,1,0,39.0,1,1,1
475,2,1,29.519847189349115,0,0,0
476,2,0,4.0,2,1,1
477,2,0,33.0,1,2,1
478,2,0,17.0,0,0,1
479,3,0,39.0,0,5,0
480,3,0,29.519847189349115,0,0,1
481,3,0,29.519847189349115,0,0,1
482,3,1,29.519847189349115,0,0,0
483,3,0,27.0,0,1,1
484,2,1,24.0,0,0,0
485,2,0,41.0,0,1,1
486,3,1,32.0,1,0,0
487,3,1,20.0,0,0,0
488,1,0,38.0,1,0,1
489,1,1,35.0,0,0,1
490,2,1,36.0,0,0,0
491,3,1,29.0,0,0,1
492,3,0,45.0,1,0,1
493,3,0,22.0,0,0,0
494,3,1,19.0,0,0,1
495,3,0,40.0,1,0,0
496,3,0,22.0,0,0,0
497,3,0,35.0,1,1,1
498,3,1,25.0,0,0,1
499,1,1,62.0,0,0,0
500,3,1,43.0,0,0,0
501,2,0,50.0,0,0,1
502,1,1,24.0,0,0,0
503,2,1,21.0,0,0,0
504,3,1,13.0,4,2,0
505,2,0,34.0,0,1,1
506,1,1,29.519847189349115,0,0,0
507,3,1,29.519847189349115,0,0,0
508,3,1,32.0,0,0,1
509,3,0,13.0,0,0,1
510,3,0,26.0,1,1,1
511,2,1,42.0,0,0,0
512,3,1,17.0,1,1,0
513,3,0,28.0,0,0,0
514,3,0,29.519847189349115,0,0,1
515,1,1,30.0,0,0,0
516,3,1,21.0,0,0,0
517,2,1,30.0,0,0,0
518,2,1,63.0,1,0,0
519,3,1,29.519847189349115,1,1,1
520,1,1,42.0,0,0,0
521,1,1,29.519847189349115,0,0,0
522,3,1,28.0,0,0,0
523,3,0,29.519847189349115,1,0,1
524,3,1,30.0,0,0,0
525,3,1,29.519847189349115,0,0,0
526,2,1,22.0,2,0,0
527,3,1,29.519847189349115,1,0,0
528,3,1,32.0,0,0,0
529,1,1,70.0,1,1,0
530,3,1,32.0,0,0,0
531,2,0,28.0,1,0,1
532,3,1,26.0,0,0,0
533,3,1,22.0,0,0,0
534,3,1,29.519847189349115,0,0,0
535,1,0,25.0,1,2,0
536,3,0,29.0,1,1,0
537,3,0,2.0,1,1,0
538,2,0,45.0,0,0,1
539,3,1,25.0,1,0,0
540,3,1,29.519847189349115,0,0,0
541,3,0,47.0,1,0,0
542,3,0,28.0,1,1,0
543,2,0,18.0,1,1,0
544,3,1,29.519847189349115,0,0,0
545,2,1,2.0,1,1,1
546,1,1,28.0,0,0,0
547,3,1,14.0,5,2,0
548,3,1,29.519847189349115,0,0,0
549,3,0,29.519847189349115,8,2,0
550,1,0,33.0,0,0,1
551,1,1,32.0,0,0,1
552,3,1,24.0,0,0,0
553,1,1,65.0,0,1,0
554,3,1,20.0,0,0,0
555,3,1,29.519847189349115,0,0,0
556,3,0,29.519847189349115,8,2,0
557,1,0,30.0,0,0,1
558,3,1,29.519847189349115,0,0,0
559,1,1,30.0,0,0,0
560,3,1,21.0,0,0,0
561,3,1,25.0,0,0,0
562,3,0,29.519847189349115,1,0,1
563,2,1,25.0,0,0,0
564,3,1,39.0,0,2,0
565,3,1,28.0,0,0,0
566,3,1,24.0,0,0,1
567,3,0,29.519847189349115,8,2,0
568,3,0,6.0,4,2,0
569,3,1,29.519847189349115,1,0,0
570,2,0,22.0,0,0,1
571,3,1,22.0,0,0,0
572,3,1,25.0,0,0,0
573,1,1,50.0,0,0,0
574,3,1,16.0,4,1,0
575,2,0,29.0,0,0,1
576,3,1,29.519847189349115,0,0,0
577,2,1,57.0,0,0,0
578,3,0,4.0,0,1,1
579,2,0,25.0,1,1,1
580,1,0,33.0,1,0,1
581,2,1,24.0,0,0,0
582,2,1,24.0,2,0,0
583,1,0,22.0,0,2,1
584,1,1,37.0,0,1,0
585,2,0,24.0,1,1,1
586,3,1,36.0,0,0,0
587,2,1,32.0,0,0,0
588,3,0,29.519847189349115,1,0,1
589,3,0,2.0,3,2,0
590,3,1,12.0,1,0,1
591,2,1,28.0,0,0,0
592,3,0,29.519847189349115,3,1,0
593,3,0,22.0,0,0,1
594,2,1,21.0,0,0,0
595,3,1,44.0,0,1,0
596,3,0,9.0,1,1,1
597,3,0,17.0,0,0,0
598,3,1,29.519847189349115,1,0,0
599,3,0,15.0,1,0,1
600,2,0,29.519847189349115,0,0,0
601,2,1,23.0,0,0,0
602,1,1,41.0,1,0,0
603,2,0,24.0,0,0,1
604,2,1,24.0,0,0,1
605,3,0,29.519847189349115,3,1,0
606,3,1,6.0,0,1,1
607,2,1,31.0,1,1,0
608,3,0,29.519847189349115,0,0,1
609,3,1,29.519847189349115,0,0,0
610,3,0,29.519847189349115,0,0,1
611,3,1,14.0,0,0,1
612,3,1,29.0,0,0,0
613,2,1,18.0,0,0,0
614,3,0,23.0,0,0,0
615,2,0,29.0,1,0,1
616,3,1,29.519847189349115,0,0,0
617,3,1,50.0,1,0,0
618,3,1,15.0,1,1,0
619,2,1,3.0,1,1,1
620,3,1,29.519847189349115,1,0,0
621,3,1,29.519847189349115,0,0,0
622,1,0,31.0,0,0,1
623,1,0,63.0,1,0,0
624,3,1,29.519847189349115,0,0,0
625,3,1,34.5,0,0,0
626,2,0,29.519847189349115,0,0,1
627,2,0,34.0,0,0,1
628,3,1,22.0,0,0,0
629,1,1,29.519847189349115,0,0,0
630,3,1,29.519847189349115,0,0,0
631,3,1,29.519847189349115,0,0,1
632,2,0,21.0,0,0,1
633,3,1,21.0,0,0,0
634,3,0,25.0,1,0,0
635,2,0,29.519847189349115,0,0,1
636,2,1,32.0,1,0,1
637,3,1,3.0,4,2,1
638,3,1,29.519847189349115,0,0,1
639,2,1,20.0,0,0,1
640,1,0,55.0,2,0,1
641,3,0,29.519847189349115,0,0,0
642,1,0,24.0,0,0,1
643,3,1,36.0,1,1,0
644,3,1,29.519847189349115,0,0,0
645,3,0,26.0,1,0,0
646,1,0,22.0,0,0,1
647,2,1,2.0,1,1,1
648,3,1,28.0,0,0,0
649,1,0,18.0,1,0,1
650,2,0,40.0,0,0,1
651,3,1,27.0,0,0,1
